objectid,ward,st_area(shape),st_perimeter(shape),population_2011
171,030,3096619.7615641365,9725.548310197077,17415
172,139,724024.2888514448,4503.207089442734,47609
173,181,1625363.9418275272,6995.128272848189,19027
174,191,4161778.063920936,9514.567578126183,18795
175,142,1065645.5875292942,6268.807074825296,50887
176,140,760853.5592627757,4239.519198583388,49630
177,135,1478443.1845060163,7481.602813436924,40405
178,188,3422944.5941290045,11453.424536787725,23896
179,187,991615.8791538827,5981.523948707902,20885
180,068,1388248.9988858998,7582.774220031002,39621
181,065,1880934.9682512605,6692.62841461452,46979
182,091,1216031.7557292543,8320.802200872495,30724
183,006,1377601.8096243157,6040.838602060846,22193
184,039,1041208.4309102176,4718.963283274716,42577
185,161,786435.9078823138,6014.621941999361,19183
186,160,669993.9233239244,5512.320017815776,18091
187,043,991587.0586705845,5622.367685420656,42330
188,196,1552267.7945588054,5163.733817198367,40923
189,022,2153210.877397965,6702.111216466813,16163
190,017,6673352.864418017,17793.760067239644,5155
191,195,2488365.028878864,8634.134316329702,16350
192,170,2701021.7533894135,9811.661230522946,44257
193,113,1689338.6578886828,9019.67761056645,36329
194,109,942361.2393630797,4757.0817376084615,48143
195,117,1328108.4323557026,7887.722625685498,39100
196,111,2717022.531612706,9926.081843568147,35188
197,038,1800298.9261864477,5950.414339555418,43583
198,001,1733614.1766935103,5456.830113775641,18400
199,025,3981923.9024080066,11619.394211498446,17494
200,032,4966754.977564576,15759.684079158278,15528
