objectid,ward,st_area(shape),st_perimeter(shape),population_2011,population_density_2011
126,040,1067102.8905027893,5627.847058460627,39579,0.03709014412035888
127,037,4101102.6517429957,10647.516946632391,50905,0.01241251544346617
128,044,690993.5115475014,4437.180403702516,52329,0.07573008881488276
129,048,478733.8232630581,3638.047423384937,36560,0.07636811569069092
130,042,1083515.125761333,5468.15881735452,46714,0.04311338059741101
131,174,3462539.302699526,7752.013409090229,36776,0.010621106877062175
132,047,623269.350409027,3820.942555265614,41478,0.06654907701265854
133,045,1139751.971700198,5717.8207713290485,53989,0.04736907795777987
134,034,2441686.3784885095,8925.548350767818,47339,0.019387829828212633
135,035,1689439.3741808091,7403.57886523918,49905,0.029539384936022574
136,036,1375623.609560433,5133.318980517102,53109,0.03860721757819383
137,010,521626.4951670811,5930.140159318127,20261,0.038841968703123946
138,186,2385093.631437821,8466.46136163213,25212,0.010570654194737543
139,011,633390.2980667251,4790.865148175027,20842,0.032905461393417774
140,002,2915968.289471914,7397.026966560898,18217,0.006247324453346207
141,003,3158599.2287900904,8556.065569394346,21882,0.006927754493368238
142,005,2318959.044411059,7566.573387208308,21225,0.009152813651950661
143,007,7677696.882041367,13794.460185856,20796,0.0027086247763496887
144,008,724104.8554174466,4966.809193395558,19342,0.026711601027518773
145,009,681428.2848656921,5836.36884602348,18650,0.027368984255879355
146,096,2750964.2433299613,7986.930404587612,45775,0.016639620129918778
147,014,667991.3838730804,4911.710409883969,19932,0.02983870822469638
148,027,3643899.3581133573,8869.911024807601,12396,0.0034018502658147167
149,028,1310031.336431482,5877.309207200532,17729,0.013533264057861162
150,021,1869769.5570240312,10848.778598539271,10556,0.005645615503977493
151,078,672512.4348739132,5716.1086495878935,34995,0.05203621254462169
152,081,1662260.6922741795,6419.6407541398185,33541,0.020177942097705348
153,146,1080572.1540367927,6201.091463444621,27093,0.025072828222332207
154,153,2265689.3006079863,7750.184907482165,26762,0.011811857871606029
155,089,994946.4892523532,6185.8959747280005,26694,0.026829583589022012
156,056,566587.6557742588,3244.325889178382,39500,0.06971560286823066
157,029,2279372.297731978,8753.56151661196,17474,0.007666145639037111
158,026,2152243.37118889,9982.479109481676,13944,0.0064788212089125375
159,128,1595875.3727316512,6627.76343729559,61662,0.0386383555092109
160,184,3117236.443838574,10291.906820400145,27714,0.008890567173618982
161,033,683214.4904322213,3915.955201825854,16658,0.024381801371721003
162,061,2217493.671235144,8442.90586415225,37988,0.017131052274363734
163,024,2710942.17692519,10316.508806131647,15307,0.005646376425985425
164,023,4153959.154213561,13701.719729546401,15502,0.0037318614421799436
165,132,1096465.3487772236,4623.83764974941,37902,0.03456743985778324
166,031,2487514.569559696,8538.814090723015,15843,0.006369007922154321
167,137,1621839.7894400035,7043.199554924604,49358,0.030433338928651247
168,013,470905.0137272649,3378.8060752829033,21772,0.04623437713621316
169,046,1436053.9762862965,6308.685285876918,51863,0.036114937778397554
170,168,3562866.5941545046,9253.843641742653,44859,0.01259070437091271
171,030,3096619.7615641365,9725.548310197077,17415,0.005623874205079506
172,139,724024.2888514448,4503.207089442734,47609,0.06575608129877036
173,181,1625363.9418275272,6995.128272848189,19027,0.011706301284502727
174,191,4161778.063920936,9514.567578126183,18795,0.004516098578859024
175,142,1065645.5875292942,6268.807074825296,50887,0.04775227392249783
176,140,760853.5592627757,4239.519198583388,49630,0.06522937219100175
177,135,1478443.1845060163,7481.602813436924,40405,0.02732942356083862
178,188,3422944.5941290045,11453.424536787725,23896,0.006981123808134712
179,187,991615.8791538827,5981.523948707902,20885,0.021061582855874162
180,068,1388248.9988858998,7582.774220031002,39621,0.028540269095671394
181,065,1880934.9682512605,6692.62841461452,46979,0.024976408431428777
182,091,1216031.7557292543,8320.802200872495,30724,0.025265787554680112
183,006,1377601.8096243157,6040.838602060846,22193,0.016109880115540955
184,039,1041208.4309102176,4718.963283274716,42577,0.04089190860928726
185,161,786435.9078823138,6014.621941999361,19183,0.0243923246735456
186,160,669993.9233239244,5512.320017815776,18091,0.02700173743404756
187,043,991587.0586705845,5622.367685420656,42330,0.04268914124066081
188,196,1552267.7945588054,5163.733817198367,40923,0.026363363424435005
189,022,2153210.877397965,6702.111216466813,16163,0.007506464029910568
190,017,6673352.864418017,17793.760067239644,5155,0.000772475261646391
191,195,2488365.028878864,8634.134316329702,16350,0.006570579400630185
192,170,2701021.7533894135,9811.661230522946,44257,0.016385280845836767
193,113,1689338.6578886828,9019.67761056645,36329,0.02150486513189936
194,109,942361.2393630797,4757.0817376084615,48143,0.05108762753499788
195,117,1328108.4323557026,7887.722625685498,39100,0.02944036725273045
196,111,2717022.531612706,9926.081843568147,35188,0.012950941551122854
197,038,1800298.9261864477,5950.414339555418,43583,0.024208757426924295
198,001,1733614.1766935103,5456.830113775641,18400,0.010613664936158963
199,025,3981923.9024080066,11619.394211498446,17494,0.0043933536724347685
200,032,4966754.977564576,15759.684079158278,15528,0.0031263873636090014
