ward,pixel_count,mean,median,min,max
120,591,48.67375183105469,48.48736572265625,44.666015625,56.478668212890625
119,1529,47.495697021484375,47.390167236328125,45.10693359375,50.609954833984375
118,2120,46.795738220214844,46.615997314453125,42.030731201171875,50.760345458984375
106,990,48.94853973388672,48.85650634765625,47.085968017578125,51.522552490234375
012,467,46.342594146728516,46.299835205078125,44.501953125,48.67877197265625
107,1379,48.34287643432617,48.196807861328125,45.681182861328125,52.083099365234375
105,1462,48.989864349365234,49.02740478515625,45.746124267578125,51.126068115234375
104,2528,47.61641311645508,47.663604736328125,43.650848388671875,53.2725830078125
099,1444,48.419288635253906,48.60357666015625,41.381317138671875,51.850677490234375
098,1600,46.939449310302734,47.779815673828125,39.145904541015625,51.047454833984375
100,2449,47.21809768676758,47.055206298828125,43.343231201171875,52.253997802734375
097,822,49.245819091796875,49.34527587890625,45.0966796875,50.791107177734375
101,1679,47.24182891845703,47.222686767578125,42.341766357421875,51.608001708984375
102,1997,47.662078857421875,47.509796142578125,44.112274169921875,52.151458740234375
095,2602,50.235328674316406,50.339935302734375,43.927703857421875,57.726287841796875
103,2717,47.36699295043945,47.256866455078125,41.726531982421875,53.607574462890625
194,5013,48.73069381713867,48.63092041015625,41.480438232421875,56.84100341796875
094,1666,49.38945388793945,49.670013427734375,38.810943603515625,52.462493896484375
020,712,45.136226654052734,46.004180908203125,36.8592529296875,49.909271240234375
079,2325,50.426456451416016,50.326263427734375,45.937530517578125,55.589996337890625
080,1652,50.38425064086914,50.357025146484375,46.826202392578125,53.3717041015625
082,4309,49.420684814453125,50.066497802734375,34.159027099609375,55.439605712890625
162,1382,48.63113784790039,48.55914306640625,42.909149169921875,52.199310302734375
164,671,48.02574157714844,47.991729736328125,44.52587890625,51.262786865234375
083,7380,45.9470100402832,49.04449462890625,33.10284423828125,55.924957275390625
158,2247,46.94709777832031,46.928741455078125,40.64300537109375,52.5787353515625
084,3485,51.232139587402344,51.160247802734375,44.77197265625,56.495758056640625
085,4857,46.42510986328125,49.598236083984375,33.724945068359375,55.019195556640625
086,6935,51.35206985473633,51.402923583984375,41.548797607421875,60.826416015625
087,1064,50.472686767578125,50.613372802734375,45.534210205078125,54.099761962890625
156,3093,49.08106994628906,49.04107666015625,45.787139892578125,53.4127197265625
088,2527,49.56537628173828,49.35211181640625,45.12060546875,59.787322998046875
090,1218,47.85182571411133,47.971221923828125,43.520965576171875,51.283294677734375
